Pfam ID	Pfam Name	Gene Count	
pfam00004	AAA - ATPase family associated with various cellular activities (AAA)	8	
pfam00005	ABC_tran - ABC transporter	41	
pfam00006	ATP-synt_ab - ATP synthase alpha/beta family, nucleotide-binding domain	3	
pfam00009	GTP_EFTU - Elongation factor Tu GTP binding domain	7	
pfam00011	HSP20 - Hsp20/alpha crystallin family	2	
pfam00012	HSP70 - Hsp70 protein	1	
pfam00013	KH_1 - KH domain	2	
pfam00027	cNMP_binding - Cyclic nucleotide-binding domain	15	
pfam00028	Cadherin - Cadherin domain	1	
pfam00034	Cytochrom_C - Cytochrome c	16	
pfam00035	dsrm - Double-stranded RNA binding motif	1	
pfam00037	Fer4 - 4Fe-4S binding domain	1	
pfam00044	Gp_dh_N - Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	2	
pfam00050	Kazal_1 - Kazal-type serine protease inhibitor domain	1	
pfam00056	Ldh_1_N - lactate/malate dehydrogenase, NAD binding domain	1	
pfam00069	Pkinase - Protein kinase domain	3	
pfam00072	Response_reg - Response regulator receiver domain	58	
pfam00075	RNase_H - RNase H	1	
pfam00078	RVT_1 - Reverse transcriptase (RNA-dependent DNA polymerase)	9	
pfam00079	Serpin - Serpin (serine protease inhibitor)	1	
pfam00081	Sod_Fe_N - Iron/manganese superoxide dismutases, alpha-hairpin domain	2	
pfam00082	Peptidase_S8 - Subtilase family	14	
pfam00083	Sugar_tr - Sugar (and other) transporter	3	
pfam00085	Thioredoxin - Thioredoxin	3	
pfam00091	Tubulin - Tubulin/FtsZ family, GTPase domain	1	
pfam00092	VWA - von Willebrand factor type A domain	3	
pfam00106	adh_short - short chain dehydrogenase	16	
pfam00107	ADH_zinc_N - Zinc-binding dehydrogenase	6	
pfam00108	Thiolase_N - Thiolase, N-terminal domain	2	
pfam00109	ketoacyl-synt - Beta-ketoacyl synthase, N-terminal domain	2	
pfam00111	Fer2 - 2Fe-2S iron-sulfur cluster binding domain	10	
pfam00113	Enolase_C - Enolase, C-terminal TIM barrel domain	1	
pfam00115	COX1 - Cytochrome C and Quinol oxidase polypeptide I	4	
pfam00116	COX2 - Cytochrome C oxidase subunit II, periplasmic domain	1	
pfam00117	GATase - Glutamine amidotransferase class-I	8	
pfam00118	Cpn60_TCP1 - TCP-1/cpn60 chaperonin family	1	
pfam00119	ATP-synt_A - ATP synthase A chain	1	
pfam00120	Gln-synt_C - Glutamine synthetase, catalytic domain	1	
pfam00121	TIM - Triosephosphate isomerase	1	
pfam00122	E1-E2_ATPase - E1-E2 ATPase	8	
pfam00126	HTH_1 - Bacterial regulatory helix-turn-helix protein, lysR family	4	
pfam00127	Copper-bind - Copper binding proteins, plastocyanin/azurin family	1	
pfam00128	Alpha-amylase - Alpha amylase, catalytic domain	8	
pfam00132	Hexapep - Bacterial transferase hexapeptide (six repeats)	11	
pfam00133	tRNA-synt_1 - tRNA synthetases class I (I, L, M and V)	3	
pfam00137	ATP-synt_C - ATP synthase subunit C	1	
pfam00140	Sigma70_r1_2 - Sigma-70 factor, region 1.2	1	
pfam00141	peroxidase - Peroxidase	2	
pfam00144	Beta-lactamase - Beta-lactamase	17	
pfam00145	DNA_methylase - C-5 cytosine-specific DNA methylase	2	
pfam00149	Metallophos - Calcineurin-like phosphoesterase	16	
pfam00150	Cellulase - Cellulase (glycosyl hydrolase family 5)	3	
pfam00152	tRNA-synt_2 - tRNA synthetases class II (D, K and N)	3	
pfam00154	RecA - recA bacterial DNA recombination protein	1	
pfam00155	Aminotran_1_2 - Aminotransferase class I and II	12	
pfam00156	Pribosyltran - Phosphoribosyl transferase domain	6	
pfam00158	Sigma54_activat - Sigma-54 interaction domain	5	
pfam00160	Pro_isomerase - Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	3	
pfam00162	PGK - Phosphoglycerate kinase	1	
pfam00163	Ribosomal_S4 - Ribosomal protein S4/S9 N-terminal domain	1	
pfam00164	Ribosom_S12_S23 - Ribosomal protein S12/S23	1	
pfam00166	Cpn10 - Chaperonin 10 Kd subunit	2	
pfam00171	Aldedh - Aldehyde dehydrogenase family	7	
pfam00173	Cyt-b5 - Cytochrome b5-like Heme/Steroid binding domain	1	
pfam00175	NAD_binding_1 - Oxidoreductase NAD-binding domain	4	
pfam00176	SNF2_N - SNF2 family N-terminal domain	1	
pfam00177	Ribosomal_S7 - Ribosomal protein S7p/S5e	1	
pfam00180	Iso_dh - Isocitrate/isopropylmalate dehydrogenase	3	
pfam00181	Ribosomal_L2 - Ribosomal Proteins L2, RNA binding domain	1	
pfam00183	HSP90 - Hsp90 protein	1	
pfam00185	OTCace - Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	2	
pfam00186	DHFR_1 - Dihydrofolate reductase	1	
pfam00189	Ribosomal_S3_C - Ribosomal protein S3, C-terminal domain	1	
pfam00195	Chal_sti_synt_N - Chalcone and stilbene synthases, N-terminal domain	1	
pfam00196	GerE - Bacterial regulatory proteins, luxR family	10	
pfam00198	2-oxoacid_dh - 2-oxoacid dehydrogenases acyltransferase (catalytic domain)	3	
pfam00202	Aminotran_3 - Aminotransferase class-III	8	
pfam00203	Ribosomal_S19 - Ribosomal protein S19	1	
pfam00204	DNA_gyraseB - DNA gyrase B	2	
pfam00205	TPP_enzyme_M - Thiamine pyrophosphate enzyme, central domain	3	
pfam00206	Lyase_1 - Lyase	3	
pfam00208	ELFV_dehydrog - Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	4	
pfam00209	SNF - Sodium:neurotransmitter symporter family	2	
pfam00210	Ferritin - Ferritin-like domain	2	
