Pfam ID	Pfam Name	Gene Count	
pfam00002	7tm_2 - 7 transmembrane receptor (Secretin family)	1	
pfam00004	AAA - ATPase family associated with various cellular activities (AAA)	64	
pfam00005	ABC_tran - ABC transporter	30	
pfam00006	ATP-synt_ab - ATP synthase alpha/beta family, nucleotide-binding domain	4	
pfam00009	GTP_EFTU - Elongation factor Tu GTP binding domain	14	
pfam00010	HLH - Helix-loop-helix DNA-binding domain	8	
pfam00011	HSP20 - Hsp20/alpha crystallin family	2	
pfam00012	HSP70 - Hsp70 protein	9	
pfam00013	KH_1 - KH domain	7	
pfam00018	SH3_1 - SH3 domain	12	
pfam00022	Actin - Actin	10	
pfam00023	Ank - Ankyrin repeat	27	
pfam00024	PAN_1 - PAN domain	3	
pfam00025	Arf - ADP-ribosylation factor family	7	
pfam00026	Asp - Eukaryotic aspartyl protease	22	
pfam00027	cNMP_binding - Cyclic nucleotide-binding domain	4	
pfam00032	Cytochrom_B_C - Cytochrome b(C-terminal)/b6/petD	1	
pfam00033	Cytochrome_B - Cytochrome b/b6/petB	1	
pfam00034	Cytochrom_C - Cytochrome c	1	
pfam00035	dsrm - Double-stranded RNA binding motif	2	
pfam00036	EF-hand_1 - EF hand	2	
pfam00041	fn3 - Fibronectin type III domain	1	
pfam00043	GST_C - Glutathione S-transferase, C-terminal domain	15	
pfam00044	Gp_dh_N - Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	1	
pfam00046	Homeobox - Homeobox domain	6	
pfam00056	Ldh_1_N - lactate/malate dehydrogenase, NAD binding domain	2	
pfam00063	Myosin_head - Myosin head (motor domain)	4	
pfam00067	p450 - Cytochrome P450	131	
pfam00069	Pkinase - Protein kinase domain	130	
pfam00071	Ras - Ras family	26	
pfam00072	Response_reg - Response regulator receiver domain	13	
pfam00075	RNase_H - RNase H	6	
pfam00076	RRM_1 - RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	63	
pfam00080	Sod_Cu - Copper/zinc superoxide dismutase (SODC)	4	
pfam00081	Sod_Fe_N - Iron/manganese superoxide dismutases, alpha-hairpin domain	2	
pfam00082	Peptidase_S8 - Subtilase family	25	
pfam00083	Sugar_tr - Sugar (and other) transporter	58	
pfam00085	Thioredoxin - Thioredoxin	12	
pfam00091	Tubulin - Tubulin/FtsZ family, GTPase domain	4	
pfam00092	VWA - von Willebrand factor type A domain	2	
pfam00096	zf-C2H2 - Zinc finger, C2H2 type	7	
pfam00097	zf-C3HC4 - Zinc finger, C3HC4 type (RING finger)	8	
pfam00098	zf-CCHC - Zinc knuckle	4	
pfam00102	Y_phosphatase - Protein-tyrosine phosphatase	2	
pfam00106	adh_short - short chain dehydrogenase	96	
pfam00107	ADH_zinc_N - Zinc-binding dehydrogenase	56	
pfam00108	Thiolase_N - Thiolase, N-terminal domain	7	
pfam00109	ketoacyl-synt - Beta-ketoacyl synthase, N-terminal domain	41	
pfam00111	Fer2 - 2Fe-2S iron-sulfur cluster binding domain	2	
pfam00113	Enolase_C - Enolase, C-terminal TIM barrel domain	1	
pfam00115	COX1 - Cytochrome C and Quinol oxidase polypeptide I	1	
pfam00116	COX2 - Cytochrome C oxidase subunit II, periplasmic domain	1	
pfam00117	GATase - Glutamine amidotransferase class-I	8	
pfam00118	Cpn60_TCP1 - TCP-1/cpn60 chaperonin family	10	
pfam00119	ATP-synt_A - ATP synthase A chain	1	
pfam00120	Gln-synt_C - Glutamine synthetase, catalytic domain	5	
pfam00121	TIM - Triosephosphate isomerase	2	
pfam00122	E1-E2_ATPase - E1-E2 ATPase	14	
pfam00125	Histone - Core histone H2A/H2B/H3/H4	5	
pfam00127	Copper-bind - Copper binding proteins, plastocyanin/azurin family	1	
pfam00128	Alpha-amylase - Alpha amylase, catalytic domain	7	
pfam00130	C1_1 - Phorbol esters/diacylglycerol binding domain (C1 domain)	2	
pfam00132	Hexapep - Bacterial transferase hexapeptide (six repeats)	6	
pfam00133	tRNA-synt_1 - tRNA synthetases class I (I, L, M and V)	6	
pfam00134	Cyclin_N - Cyclin, N-terminal domain	8	
pfam00135	COesterase - Carboxylesterase family	26	
pfam00136	DNA_pol_B - DNA polymerase family B	4	
pfam00137	ATP-synt_C - ATP synthase subunit C	5	
pfam00141	peroxidase - Peroxidase	2	
pfam00144	Beta-lactamase - Beta-lactamase	7	
pfam00145	DNA_methylase - C-5 cytosine-specific DNA methylase	3	
pfam00146	NADHdh - NADH dehydrogenase	1	
pfam00149	Metallophos - Calcineurin-like phosphoesterase	28	
pfam00150	Cellulase - Cellulase (glycosyl hydrolase family 5)	17	
pfam00152	tRNA-synt_2 - tRNA synthetases class II (D, K and N)	8	
pfam00153	Mito_carr - Mitochondrial carrier protein	37	
pfam00155	Aminotran_1_2 - Aminotransferase class I and II	20	
pfam00156	Pribosyltran - Phosphoribosyl transferase domain	4	
pfam00160	Pro_isomerase - Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	11	
pfam00162	PGK - Phosphoglycerate kinase	1	
pfam00163	Ribosomal_S4 - Ribosomal protein S4/S9 N-terminal domain	1	
pfam00164	Ribosom_S12_S23 - Ribosomal protein S12/S23	2	
pfam00165	HTH_AraC - Bacterial regulatory helix-turn-helix proteins, AraC family	1	
pfam00166	Cpn10 - Chaperonin 10 Kd subunit	1	
pfam00168	C2 - C2 domain	10	
pfam00169	PH - PH domain	11	
pfam00170	bZIP_1 - bZIP transcription factor	9	
pfam00171	Aldedh - Aldehyde dehydrogenase family	23	
pfam00172	Zn_clus - Fungal Zn(2)-Cys(6) binuclear cluster domain	154	
pfam00173	Cyt-b5 - Cytochrome b5-like Heme/Steroid binding domain	19	
pfam00174	Oxidored_molyb - Oxidoreductase molybdopterin binding domain	5	
pfam00175	NAD_binding_1 - Oxidoreductase NAD-binding domain	10	
pfam00176	SNF2_N - SNF2 family N-terminal domain	29	
pfam00177	Ribosomal_S7 - Ribosomal protein S7p/S5e	2	
pfam00179	UQ_con - Ubiquitin-conjugating enzyme	24	
pfam00180	Iso_dh - Isocitrate/isopropylmalate dehydrogenase	8	
pfam00181	Ribosomal_L2 - Ribosomal Proteins L2, RNA binding domain	2	
pfam00183	HSP90 - Hsp90 protein	1	
pfam00185	OTCace - Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	2	
pfam00186	DHFR_1 - Dihydrofolate reductase	1	
pfam00187	Chitin_bind_1 - Chitin recognition protein	2	
pfam00188	CAP - Cysteine-rich secretory protein family	4	
pfam00189	Ribosomal_S3_C - Ribosomal protein S3, C-terminal domain	1	
pfam00190	Cupin_1 - Cupin	4	
pfam00191	Annexin - Annexin	2	
pfam00195	Chal_sti_synt_N - Chalcone and stilbene synthases, N-terminal domain	1	
pfam00198	2-oxoacid_dh - 2-oxoacid dehydrogenases acyltransferase (catalytic domain)	3	
pfam00199	Catalase - Catalase	5	
pfam00200	Disintegrin - Disintegrin	1	
pfam00201	UDPGT - UDP-glucoronosyl and UDP-glucosyl transferase	4	
pfam00202	Aminotran_3 - Aminotransferase class-III	5	
pfam00203	Ribosomal_S19 - Ribosomal protein S19	2	
pfam00204	DNA_gyraseB - DNA gyrase B	1	
pfam00205	TPP_enzyme_M - Thiamine pyrophosphate enzyme, central domain	9	
pfam00206	Lyase_1 - Lyase	4	
pfam00208	ELFV_dehydrog - Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	2	
pfam00211	Guanylate_cyc - Adenylate and Guanylate cyclase catalytic domain	1	
pfam00213	OSCP - ATP synthase delta (OSCP) subunit	1	
pfam00215	OMPdecase - Orotidine 5'-phosphate decarboxylase / HUMPS family	1	
pfam00218	IGPS - Indole-3-glycerol phosphate synthase	1	
pfam00221	Lyase_aromatic - Aromatic amino acid lyase	2	
pfam00224	PK - Pyruvate kinase, barrel domain	1	
pfam00225	Kinesin - Kinesin motor domain	10	
pfam00226	DnaJ - DnaJ domain	23	
pfam00227	Proteasome - Proteasome subunit	14	
pfam00230	MIP - Major intrinsic protein	8	
pfam00231	ATP-synt - ATP synthase	1	
pfam00232	Glyco_hydro_1 - Glycosyl hydrolase family 1	1	
pfam00233	PDEase_I - 3'5'-cyclic nucleotide phosphodiesterase	1	
pfam00235	Profilin - Profilin	1	
pfam00237	Ribosomal_L22 - Ribosomal protein L22p/L17e	2	
pfam00238	Ribosomal_L14 - Ribosomal protein L14p/L23e	2	
pfam00240	ubiquitin - Ubiquitin family	10	
pfam00241	Cofilin_ADF - Cofilin/tropomyosin-type actin-binding protein	4	
pfam00244	14-3-3 - 14-3-3 protein	2	
pfam00245	Alk_phosphatase - Alkaline phosphatase	1	
pfam00246	Peptidase_M14 - Zinc carboxypeptidase	2	
pfam00248	Aldo_ket_red - Aldo/keto reductase family	30	
pfam00249	Myb_DNA-binding - Myb-like DNA-binding domain	10	
pfam00250	Forkhead - Forkhead domain	5	
pfam00251	Glyco_hydro_32N - Glycosyl hydrolases family 32 N-terminal domain	1	
pfam00252	Ribosomal_L16 - Ribosomal protein L16p/L10e	2	
pfam00253	Ribosomal_S14 - Ribosomal protein S14p/S29e	2	
pfam00254	FKBP_C - FKBP-type peptidyl-prolyl cis-trans isomerase	4	
pfam00255	GSHPx - Glutathione peroxidase	1	
pfam00258	Flavodoxin_1 - Flavodoxin	6	
pfam00262	Calreticulin - Calreticulin family	1	
pfam00264	Tyrosinase - Common central domain of tyrosinase	6	
