Pfam ID	Pfam Name	Gene Count	
pfam00004	AAA - ATPase family associated with various cellular activities (AAA)	7	
pfam00005	ABC_tran - ABC transporter	25	
pfam00006	ATP-synt_ab - ATP synthase alpha/beta family, nucleotide-binding domain	2	
pfam00009	GTP_EFTU - Elongation factor Tu GTP binding domain	7	
pfam00011	HSP20 - Hsp20/alpha crystallin family	2	
pfam00012	HSP70 - Hsp70 protein	1	
pfam00013	KH_1 - KH domain	1	
pfam00035	dsrm - Double-stranded RNA binding motif	1	
pfam00037	Fer4 - 4Fe-4S binding domain	25	
pfam00056	Ldh_1_N - lactate/malate dehydrogenase, NAD binding domain	1	
pfam00069	Pkinase - Protein kinase domain	2	
pfam00072	Response_reg - Response regulator receiver domain	8	
pfam00081	Sod_Fe_N - Iron/manganese superoxide dismutases, alpha-hairpin domain	1	
pfam00083	Sugar_tr - Sugar (and other) transporter	1	
pfam00085	Thioredoxin - Thioredoxin	1	
pfam00091	Tubulin - Tubulin/FtsZ family, GTPase domain	1	
pfam00092	VWA - von Willebrand factor type A domain	1	
pfam00106	adh_short - short chain dehydrogenase	1	
pfam00107	ADH_zinc_N - Zinc-binding dehydrogenase	2	
pfam00108	Thiolase_N - Thiolase, N-terminal domain	1	
pfam00112	Peptidase_C1 - Papain family cysteine protease	1	
pfam00113	Enolase_C - Enolase, C-terminal TIM barrel domain	1	
pfam00117	GATase - Glutamine amidotransferase class-I	5	
pfam00118	Cpn60_TCP1 - TCP-1/cpn60 chaperonin family	2	
pfam00120	Gln-synt_C - Glutamine synthetase, catalytic domain	1	
pfam00121	TIM - Triosephosphate isomerase	1	
pfam00122	E1-E2_ATPase - E1-E2 ATPase	7	
pfam00126	HTH_1 - Bacterial regulatory helix-turn-helix protein, lysR family	2	
pfam00132	Hexapep - Bacterial transferase hexapeptide (six repeats)	7	
pfam00133	tRNA-synt_1 - tRNA synthetases class I (I, L, M and V)	3	
pfam00136	DNA_pol_B - DNA polymerase family B	2	
pfam00137	ATP-synt_C - ATP synthase subunit C	1	
pfam00141	peroxidase - Peroxidase	1	
pfam00142	Fer4_NifH - 4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	2	
pfam00146	NADHdh - NADH dehydrogenase	2	
pfam00148	Oxidored_nitro - Nitrogenase component 1 type Oxidoreductase	5	
pfam00149	Metallophos - Calcineurin-like phosphoesterase	9	
pfam00152	tRNA-synt_2 - tRNA synthetases class II (D, K and N)	1	
pfam00155	Aminotran_1_2 - Aminotransferase class I and II	5	
pfam00156	Pribosyltran - Phosphoribosyl transferase domain	4	
pfam00158	Sigma54_activat - Sigma-54 interaction domain	1	
pfam00160	Pro_isomerase - Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	1	
pfam00162	PGK - Phosphoglycerate kinase	1	
pfam00164	Ribosom_S12_S23 - Ribosomal protein S12/S23	1	
pfam00171	Aldedh - Aldehyde dehydrogenase family	1	
pfam00177	Ribosomal_S7 - Ribosomal protein S7p/S5e	1	
pfam00180	Iso_dh - Isocitrate/isopropylmalate dehydrogenase	2	
pfam00181	Ribosomal_L2 - Ribosomal Proteins L2, RNA binding domain	1	
pfam00185	OTCace - Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	2	
pfam00189	Ribosomal_S3_C - Ribosomal protein S3, C-terminal domain	1	
pfam00202	Aminotran_3 - Aminotransferase class-III	2	
pfam00203	Ribosomal_S19 - Ribosomal protein S19	1	
pfam00205	TPP_enzyme_M - Thiamine pyrophosphate enzyme, central domain	3	
pfam00206	Lyase_1 - Lyase	2	
pfam00210	Ferritin - Ferritin-like domain	2	
pfam00215	OMPdecase - Orotidine 5'-phosphate decarboxylase / HUMPS family	2	
pfam00218	IGPS - Indole-3-glycerol phosphate synthase	1	
pfam00226	DnaJ - DnaJ domain	1	
pfam00227	Proteasome - Proteasome subunit	2	
pfam00230	MIP - Major intrinsic protein	1	
pfam00237	Ribosomal_L22 - Ribosomal protein L22p/L17e	1	
pfam00238	Ribosomal_L14 - Ribosomal protein L14p/L23e	1	
pfam00248	Aldo_ket_red - Aldo/keto reductase family	4	
pfam00252	Ribosomal_L16 - Ribosomal protein L16p/L10e	1	
pfam00254	FKBP_C - FKBP-type peptidyl-prolyl cis-trans isomerase	1	
pfam00258	Flavodoxin_1 - Flavodoxin	2	
pfam00266	Aminotran_5 - Aminotransferase class-V	3	
pfam00270	DEAD - DEAD/DEAH box helicase	8	
pfam00271	Helicase_C - Helicase conserved C-terminal domain	12	
pfam00275	EPSP_synthase - EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	1	
pfam00276	Ribosomal_L23 - Ribosomal protein L23	1	
pfam00278	Orn_DAP_Arg_deC - Pyridoxal-dependent decarboxylase, C-terminal sheet domain	1	
pfam00281	Ribosomal_L5 - Ribosomal protein L5	1	
pfam00282	Pyridoxal_deC - Pyridoxal-dependent decarboxylase conserved domain	2	
pfam00285	Citrate_synt - Citrate synthase, C-terminal domain	2	
pfam00288	GHMP_kinases_N - GHMP kinases N terminal domain	4	
pfam00289	Biotin_carb_N - Biotin carboxylase, N-terminal domain	1	
pfam00290	Trp_syntA - Tryptophan synthase alpha chain	1	
pfam00291	PALP - Pyridoxal-phosphate dependent enzyme	4	
pfam00293	NUDIX - NUDIX domain	3	
pfam00294	PfkB - pfkB family carbohydrate kinase	4	
pfam00296	Bac_luciferase - Luciferase-like monooxygenase	2	
pfam00297	Ribosomal_L3 - Ribosomal protein L3	1	
pfam00298	Ribosomal_L11 - Ribosomal protein L11, RNA binding domain	1	
pfam00301	Rubredoxin - Rubredoxin	6	
pfam00303	Thymidylat_synt - Thymidylate synthase	2	
pfam00312	Ribosomal_S15 - Ribosomal protein S15	1	
pfam00317	Ribonuc_red_lgN - Ribonucleotide reductase, all-alpha domain	1	
pfam00318	Ribosomal_S2 - Ribosomal protein S2	1	
pfam00327	Ribosomal_L30 - Ribosomal protein L30p/L7e	1	
pfam00330	Aconitase - Aconitase family (aconitate hydratase)	2	
pfam00333	Ribosomal_S5 - Ribosomal protein S5, N-terminal domain	1	
pfam00334	NDK - Nucleoside diphosphate kinase	1	
pfam00338	Ribosomal_S10 - Ribosomal protein S10p/S20e	1	
pfam00344	SecY - SecY translocase	1	
pfam00346	Complex1_49kDa - Respiratory-chain NADH dehydrogenase, 49 Kd subunit	2	
pfam00347	Ribosomal_L6 - Ribosomal protein L6	1	
pfam00348	polyprenyl_synt - Polyprenyl synthetase	1	
pfam00352	TBP - Transcription factor TFIID (or TATA-binding protein, TBP)	1	
pfam00355	Rieske - Rieske [2Fe-2S] domain	1	
pfam00361	Proton_antipo_M - Proton-conducting membrane transporter	1	
pfam00364	Biotin_lipoyl - Biotin-requiring enzyme	1	
pfam00366	Ribosomal_S17 - Ribosomal protein S17	1	
pfam00368	HMG-CoA_red - Hydroxymethylglutaryl-coenzyme A reductase	1	
pfam00374	NiFeSe_Hases - Nickel-dependent hydrogenase	6	
pfam00380	Ribosomal_S9 - Ribosomal protein S9/S16	1	
pfam00382	TFIIB - Transcription factor TFIIB repeat	1	
pfam00383	dCMP_cyt_deam_1 - Cytidine and deoxycytidylate deaminase zinc-binding region	1	
pfam00384	Molybdopterin - Molybdopterin oxidoreductase	3	
pfam00389	2-Hacid_dh - D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	1	
pfam00391	PEP-utilizers - PEP-utilising enzyme, mobile domain	3	
pfam00398	RrnaAD - Ribosomal RNA adenine dimethylase	1	
pfam00403	HMA - Heavy-metal-associated domain	1	
pfam00408	PGM_PMM_IV - Phosphoglucomutase/phosphomannomutase, C-terminal domain	3	
pfam00410	Ribosomal_S8 - Ribosomal protein S8	1	
pfam00411	Ribosomal_S11 - Ribosomal protein S11	1	
pfam00416	Ribosomal_S13 - Ribosomal protein S13/S18	1	
pfam00420	Oxidored_q2 - NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	1	
pfam00425	Chorismate_bind - chorismate binding enzyme	1	
pfam00428	Ribosomal_60s - 60s Acidic ribosomal protein	1	
pfam00437	T2SSE - Type II/IV secretion system protein	2	
pfam00440	TetR_N - Bacterial regulatory proteins, tetR family	12	
pfam00448	SRP54 - SRP54-type protein, GTPase domain	2	
pfam00459	Inositol_P - Inositol monophosphatase family	1	
pfam00462	Glutaredoxin - Glutaredoxin	1	
pfam00464	SHMT - Serine hydroxymethyltransferase	1	
pfam00465	Fe-ADH - Iron-containing alcohol dehydrogenase	2	
pfam00466	Ribosomal_L10 - Ribosomal protein L10	1	
pfam00467	KOW - KOW motif	2	
pfam00474	SSF - Sodium:solute symporter family	1	
pfam00475	IGPD - Imidazoleglycerol-phosphate dehydratase	1	
pfam00478	IMPDH - IMP dehydrogenase / GMP reductase domain	1	
pfam00482	T2SSF - Type II secretion system (T2SS), protein F	2	
pfam00483	NTP_transferase - Nucleotidyl transferase	5	
pfam00484	Pro_CA - Carbonic anhydrase	1	
pfam00488	MutS_V - MutS domain V	1	
pfam00490	ALAD - Delta-aminolevulinic acid dehydratase	1	
pfam00491	Arginase - Arginase family	1	
pfam00493	MCM - MCM2/3/5 family	1	
pfam00498	FHA - FHA domain	2	
pfam00501	AMP-binding - AMP-binding enzyme	8	
pfam00512	HisKA - His Kinase A (phospho-acceptor) domain	2	
pfam00515	TPR_1 - Tetratricopeptide repeat	10	
pfam00528	BPD_transp_1 - Binding-protein-dependent transport system inner membrane component	3	
