Pfam ID	Pfam Name	Gene Count (assembled)	
pfam00001	7 transmembrane receptor (rhodopsin family)	3	
pfam00002	7 transmembrane receptor (Secretin family)	3	
pfam00004	ATPase family associated with various cellular activities (AAA)	152	
pfam00005	ABC transporter	1136	
pfam00006	ATP synthase alpha/beta family, nucleotide-binding domain	98	
pfam00008	EGF-like domain	2	
pfam00009	Elongation factor Tu GTP binding domain	186	
pfam00011	Hsp20/alpha crystallin family	27	
pfam00012	Hsp70 protein	123	
pfam00013	KH domain	33	
pfam00015	Methyl-accepting chemotaxis protein (MCP) signalling domain	5	
pfam00016	Ribulose bisphosphate carboxylase large chain, catalytic domain	2	
pfam00017	SH2 domain	2	
pfam00022	Actin	1	
pfam00023	Ankyrin repeat	41	
pfam00025	ADP-ribosylation factor family	1	
pfam00027	Cyclic nucleotide-binding domain	12	
pfam00028	Cadherin domain	31	
pfam00030	Beta/Gamma crystallin	3	
pfam00032	Cytochrome b(C-terminal)/b6/petD	20	
pfam00033	Cytochrome b/b6/petB	9	
pfam00034	Cytochrome c	47	
pfam00035	Double-stranded RNA binding motif	18	
pfam00037	4Fe-4S binding domain	40	
pfam00041	Fibronectin type III domain	460	
pfam00042	Globin	1	
pfam00043	Glutathione S-transferase, C-terminal domain	32	
pfam00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	30	
pfam00046	Homeobox domain	1	
pfam00050	Kazal-type serine protease inhibitor domain	2	
pfam00056	lactate/malate dehydrogenase, NAD binding domain	30	
pfam00058	Low-density lipoprotein receptor repeat class B	2	
pfam00060	Ligand-gated ion channel	1	
pfam00067	Cytochrome P450	42	
pfam00069	Protein kinase domain	84	
pfam00070	Pyridine nucleotide-disulphide oxidoreductase	6	
pfam00071	Ras family	2	
pfam00072	Response regulator receiver domain	154	
pfam00075	RNase H	31	
pfam00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	5	
pfam00077	Retroviral aspartyl protease	4	
pfam00078	Reverse transcriptase (RNA-dependent DNA polymerase)	50	
pfam00080	Copper/zinc superoxide dismutase (SODC)	2	
pfam00081	Iron/manganese superoxide dismutases, alpha-hairpin domain	18	
pfam00082	Subtilase family	115	
pfam00083	Sugar (and other) transporter	6	
pfam00084	Sushi repeat (SCR repeat)	3	
pfam00085	Thioredoxin	39	
pfam00089	Trypsin	12	
pfam00091	Tubulin/FtsZ family, GTPase domain	32	
pfam00092	von Willebrand factor type A domain	5	
pfam00096	Zinc finger, C2H2 type	1	
pfam00097	Zinc finger, C3HC4 type (RING finger)	1	
pfam00098	Zinc knuckle	13	
pfam00101	Ribulose bisphosphate carboxylase, small chain	1	
pfam00102	Protein-tyrosine phosphatase	2	
pfam00106	short chain dehydrogenase	392	
pfam00107	Zinc-binding dehydrogenase	101	
pfam00108	Thiolase, N-terminal domain	88	
pfam00109	Beta-ketoacyl synthase, N-terminal domain	51	
pfam00111	2Fe-2S iron-sulfur cluster binding domain	65	
pfam00113	Enolase, C-terminal TIM barrel domain	55	
pfam00114	Pilin (bacterial filament)	1	
pfam00115	Cytochrome C and Quinol oxidase polypeptide I	79	
pfam00116	Cytochrome C oxidase subunit II, periplasmic domain	31	
pfam00117	Glutamine amidotransferase class-I	183	
pfam00118	TCP-1/cpn60 chaperonin family	57	
pfam00119	ATP synthase A chain	38	
pfam00120	Glutamine synthetase, catalytic domain	90	
pfam00121	Triosephosphate isomerase	37	
pfam00122	E1-E2 ATPase	23	
