Pfam ID	Pfam Name	Gene Count	
pfam00004	AAA - ATPase family associated with various cellular activities (AAA)	11	
pfam00005	ABC_tran - ABC transporter	51	
pfam00006	ATP-synt_ab - ATP synthase alpha/beta family, nucleotide-binding domain	4	
pfam00009	GTP_EFTU - Elongation factor Tu GTP binding domain	8	
pfam00011	HSP20 - Hsp20/alpha crystallin family	3	
pfam00012	HSP70 - Hsp70 protein	3	
pfam00013	KH_1 - KH domain	1	
pfam00015	MCPsignal - Methyl-accepting chemotaxis protein (MCP) signalling domain	37	
pfam00027	cNMP_binding - Cyclic nucleotide-binding domain	17	
pfam00032	Cytochrom_B_C - Cytochrome b(C-terminal)/b6/petD	1	
pfam00033	Cytochrome_B - Cytochrome b/b6/petB	1	
pfam00034	Cytochrom_C - Cytochrome c	16	
pfam00035	dsrm - Double-stranded RNA binding motif	1	
pfam00037	Fer4 - 4Fe-4S binding domain	4	
pfam00043	GST_C - Glutathione S-transferase, C-terminal domain	2	
pfam00044	Gp_dh_N - Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	2	
pfam00056	Ldh_1_N - lactate/malate dehydrogenase, NAD binding domain	1	
pfam00069	Pkinase - Protein kinase domain	8	
pfam00072	Response_reg - Response regulator receiver domain	94	
pfam00075	RNase_H - RNase H	1	
pfam00076	RRM_1 - RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	1	
pfam00081	Sod_Fe_N - Iron/manganese superoxide dismutases, alpha-hairpin domain	1	
pfam00082	Peptidase_S8 - Subtilase family	1	
pfam00085	Thioredoxin - Thioredoxin	4	
pfam00091	Tubulin - Tubulin/FtsZ family, GTPase domain	1	
pfam00092	VWA - von Willebrand factor type A domain	1	
pfam00106	adh_short - short chain dehydrogenase	5	
pfam00107	ADH_zinc_N - Zinc-binding dehydrogenase	2	
pfam00108	Thiolase_N - Thiolase, N-terminal domain	4	
pfam00109	ketoacyl-synt - Beta-ketoacyl synthase, N-terminal domain	1	
pfam00111	Fer2 - 2Fe-2S iron-sulfur cluster binding domain	3	
pfam00113	Enolase_C - Enolase, C-terminal TIM barrel domain	1	
pfam00114	Pilin - Pilin (bacterial filament)	1	
pfam00115	COX1 - Cytochrome C and Quinol oxidase polypeptide I	2	
pfam00117	GATase - Glutamine amidotransferase class-I	6	
pfam00118	Cpn60_TCP1 - TCP-1/cpn60 chaperonin family	1	
pfam00119	ATP-synt_A - ATP synthase A chain	1	
pfam00120	Gln-synt_C - Glutamine synthetase, catalytic domain	1	
pfam00121	TIM - Triosephosphate isomerase	1	
pfam00122	E1-E2_ATPase - E1-E2 ATPase	6	
pfam00126	HTH_1 - Bacterial regulatory helix-turn-helix protein, lysR family	31	
pfam00132	Hexapep - Bacterial transferase hexapeptide (six repeats)	8	
pfam00133	tRNA-synt_1 - tRNA synthetases class I (I, L, M and V)	3	
pfam00137	ATP-synt_C - ATP synthase subunit C	1	
pfam00140	Sigma70_r1_2 - Sigma-70 factor, region 1.2	3	
pfam00141	peroxidase - Peroxidase	1	
pfam00142	Fer4_NifH - 4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	1	
pfam00145	DNA_methylase - C-5 cytosine-specific DNA methylase	1	
pfam00146	NADHdh - NADH dehydrogenase	1	
pfam00148	Oxidored_nitro - Nitrogenase component 1 type Oxidoreductase	4	
pfam00149	Metallophos - Calcineurin-like phosphoesterase	4	
pfam00152	tRNA-synt_2 - tRNA synthetases class II (D, K and N)	2	
pfam00154	RecA - recA bacterial DNA recombination protein	1	
pfam00155	Aminotran_1_2 - Aminotransferase class I and II	17	
pfam00156	Pribosyltran - Phosphoribosyl transferase domain	6	
pfam00158	Sigma54_activat - Sigma-54 interaction domain	13	
pfam00160	Pro_isomerase - Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	2	
pfam00162	PGK - Phosphoglycerate kinase	1	
pfam00163	Ribosomal_S4 - Ribosomal protein S4/S9 N-terminal domain	2	
pfam00164	Ribosom_S12_S23 - Ribosomal protein S12/S23	1	
pfam00166	Cpn10 - Chaperonin 10 Kd subunit	1	
pfam00171	Aldedh - Aldehyde dehydrogenase family	6	
pfam00174	Oxidored_molyb - Oxidoreductase molybdopterin binding domain	3	
pfam00175	NAD_binding_1 - Oxidoreductase NAD-binding domain	4	
pfam00177	Ribosomal_S7 - Ribosomal protein S7p/S5e	1	
pfam00180	Iso_dh - Isocitrate/isopropylmalate dehydrogenase	2	
pfam00181	Ribosomal_L2 - Ribosomal Proteins L2, RNA binding domain	1	
pfam00183	HSP90 - Hsp90 protein	1	
pfam00185	OTCace - Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	2	
pfam00186	DHFR_1 - Dihydrofolate reductase	1	
pfam00189	Ribosomal_S3_C - Ribosomal protein S3, C-terminal domain	1	
pfam00194	Carb_anhydrase - Eukaryotic-type carbonic anhydrase	1	
pfam00196	GerE - Bacterial regulatory proteins, luxR family	9	
pfam00198	2-oxoacid_dh - 2-oxoacid dehydrogenases acyltransferase (catalytic domain)	2	
pfam00202	Aminotran_3 - Aminotransferase class-III	4	
pfam00203	Ribosomal_S19 - Ribosomal protein S19	1	
pfam00204	DNA_gyraseB - DNA gyrase B	2	
pfam00205	TPP_enzyme_M - Thiamine pyrophosphate enzyme, central domain	2	
pfam00206	Lyase_1 - Lyase	4	
pfam00207	A2M - Alpha-2-macroglobulin family	1	
pfam00208	ELFV_dehydrog - Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	1	
pfam00210	Ferritin - Ferritin-like domain	3	
pfam00211	Guanylate_cyc - Adenylate and Guanylate cyclase catalytic domain	3	
pfam00213	OSCP - ATP synthase delta (OSCP) subunit	1	
pfam00215	OMPdecase - Orotidine 5'-phosphate decarboxylase / HUMPS family	1	
pfam00216	Bac_DNA_binding - Bacterial DNA-binding protein	5	
pfam00218	IGPS - Indole-3-glycerol phosphate synthase	1	
pfam00224	PK - Pyruvate kinase, barrel domain	1	
pfam00226	DnaJ - DnaJ domain	1	
pfam00227	Proteasome - Proteasome subunit	2	
pfam00231	ATP-synt - ATP synthase	1	
pfam00237	Ribosomal_L22 - Ribosomal protein L22p/L17e	1	
pfam00238	Ribosomal_L14 - Ribosomal protein L14p/L23e	1	
pfam00239	Resolvase - Resolvase, N terminal domain	5	
pfam00248	Aldo_ket_red - Aldo/keto reductase family	1	
pfam00252	Ribosomal_L16 - Ribosomal protein L16p/L10e	1	
pfam00253	Ribosomal_S14 - Ribosomal protein S14p/S29e	1	
pfam00254	FKBP_C - FKBP-type peptidyl-prolyl cis-trans isomerase	5	
pfam00255	GSHPx - Glutathione peroxidase	2	
pfam00258	Flavodoxin_1 - Flavodoxin	1	
pfam00263	Secretin - Bacterial type II and III secretion system protein	5	
pfam00266	Aminotran_5 - Aminotransferase class-V	4	
pfam00268	Ribonuc_red_sm - Ribonucleotide reductase, small chain	1	
pfam00270	DEAD - DEAD/DEAH box helicase	11	
pfam00271	Helicase_C - Helicase conserved C-terminal domain	12	
pfam00275	EPSP_synthase - EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	2	
pfam00276	Ribosomal_L23 - Ribosomal protein L23	1	
pfam00278	Orn_DAP_Arg_deC - Pyridoxal-dependent decarboxylase, C-terminal sheet domain	1	
pfam00281	Ribosomal_L5 - Ribosomal protein L5	1	
pfam00285	Citrate_synt - Citrate synthase, C-terminal domain	1	
pfam00288	GHMP_kinases_N - GHMP kinases N terminal domain	1	
pfam00289	Biotin_carb_N - Biotin carboxylase, N-terminal domain	3	
pfam00290	Trp_syntA - Tryptophan synthase alpha chain	1	
pfam00291	PALP - Pyridoxal-phosphate dependent enzyme	7	
pfam00293	NUDIX - NUDIX domain	8	
pfam00294	PfkB - pfkB family carbohydrate kinase	2	
pfam00296	Bac_luciferase - Luciferase-like monooxygenase	1	
pfam00297	Ribosomal_L3 - Ribosomal protein L3	1	
pfam00298	Ribosomal_L11 - Ribosomal protein L11, RNA binding domain	1	
pfam00300	His_Phos_1 - Histidine phosphatase superfamily (branch 1)	5	
pfam00301	Rubredoxin - Rubredoxin	1	
pfam00303	Thymidylat_synt - Thymidylate synthase	1	
pfam00306	ATP-synt_ab_C - ATP synthase alpha/beta chain, C terminal domain	1	
pfam00308	Bac_DnaA - Bacterial dnaA protein	2	
pfam00309	Sigma54_AID - Sigma-54 factor, Activator interacting domain (AID)	1	
pfam00310	GATase_2 - Glutamine amidotransferases class-II	1	
pfam00311	PEPcase - Phosphoenolpyruvate carboxylase	1	
pfam00312	Ribosomal_S15 - Ribosomal protein S15	1	
pfam00313	CSD - 'Cold-shock' DNA-binding domain	2	
pfam00316	FBPase - Fructose-1-6-bisphosphatase, N-terminal domain	1	
pfam00317	Ribonuc_red_lgN - Ribonucleotide reductase, all-alpha domain	1	
pfam00318	Ribosomal_S2 - Ribosomal protein S2	1	
pfam00327	Ribosomal_L30 - Ribosomal protein L30p/L7e	1	
pfam00329	Complex1_30kDa - Respiratory-chain NADH dehydrogenase, 30 Kd subunit	1	
pfam00330	Aconitase - Aconitase family (aconitate hydratase)	3	
pfam00333	Ribosomal_S5 - Ribosomal protein S5, N-terminal domain	1	
pfam00334	NDK - Nucleoside diphosphate kinase	1	
