Pfam ID	Pfam Name	Gene Count (assembled)	
pfam00004	ATPase family associated with various cellular activities (AAA)	56	
pfam00005	ABC transporter	549	
pfam00006	ATP synthase alpha/beta family, nucleotide-binding domain	49	
pfam00009	Elongation factor Tu GTP binding domain	68	
pfam00011	Hsp20/alpha crystallin family	3	
pfam00012	Hsp70 protein	22	
pfam00013	KH domain	14	
pfam00027	Cyclic nucleotide-binding domain	18	
pfam00035	Double-stranded RNA binding motif	11	
pfam00037	4Fe-4S binding domain	38	
pfam00041	Fibronectin type III domain	23	
pfam00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	8	
pfam00056	lactate/malate dehydrogenase, NAD binding domain	10	
pfam00059	Lectin C-type domain	1	
pfam00069	Protein kinase domain	42	
pfam00070	Pyridine nucleotide-disulphide oxidoreductase	26	
pfam00071	Ras family	1	
pfam00072	Response regulator receiver domain	252	
pfam00075	RNase H	6	
pfam00078	Reverse transcriptase (RNA-dependent DNA polymerase)	37	
pfam00079	Serpin (serine protease inhibitor)	1	
pfam00082	Subtilase family	24	
pfam00083	Sugar (and other) transporter	5	
pfam00085	Thioredoxin	19	
pfam00089	Trypsin	5	
pfam00091	Tubulin/FtsZ family, GTPase domain	3	
pfam00092	von Willebrand factor type A domain	4	
pfam00106	short chain dehydrogenase	31	
pfam00107	Zinc-binding dehydrogenase	20	
pfam00108	Thiolase, N-terminal domain	1	
pfam00109	Beta-ketoacyl synthase, N-terminal domain	16	
pfam00111	2Fe-2S iron-sulfur cluster binding domain	8	
pfam00112	Papain family cysteine protease	8	
pfam00113	Enolase, C-terminal TIM barrel domain	7	
pfam00117	Glutamine amidotransferase class-I	46	
pfam00118	TCP-1/cpn60 chaperonin family	6	
pfam00119	ATP synthase A chain	11	
pfam00120	Glutamine synthetase, catalytic domain	14	
pfam00121	Triosephosphate isomerase	11	
pfam00122	E1-E2 ATPase	38	
pfam00126	Bacterial regulatory helix-turn-helix protein, lysR family	51	
pfam00128	Alpha amylase, catalytic domain	76	
pfam00132	Bacterial transferase hexapeptide (six repeats)	37	
pfam00133	tRNA synthetases class I (I, L, M and V)	42	
pfam00135	Carboxylesterase family	3	
pfam00136	DNA polymerase family B	2	
pfam00137	ATP synthase subunit C	18	
pfam00140	Sigma-70 factor, region 1.2	4	
pfam00142	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	5	
pfam00144	Beta-lactamase	6	
pfam00145	C-5 cytosine-specific DNA methylase	40	
pfam00146	NADH dehydrogenase	3	
pfam00148	Nitrogenase component 1 type Oxidoreductase	7	
pfam00149	Calcineurin-like phosphoesterase	30	
pfam00150	Cellulase (glycosyl hydrolase family 5)	3	
pfam00152	tRNA synthetases class II (D, K and N)	34	
pfam00154	recA bacterial DNA recombination protein	5	
pfam00155	Aminotransferase class I and II	67	
pfam00156	Phosphoribosyl transferase domain	51	
pfam00158	Sigma-54 interaction domain	8	
pfam00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	9	
pfam00162	Phosphoglycerate kinase	10	
pfam00163	Ribosomal protein S4/S9 N-terminal domain	3	
pfam00164	Ribosomal protein S12/S23	7	
pfam00165	Bacterial regulatory helix-turn-helix proteins, AraC family	6	
pfam00166	Chaperonin 10 Kd subunit	5	
pfam00171	Aldehyde dehydrogenase family	24	
pfam00174	Oxidoreductase molybdopterin binding domain	1	
pfam00175	Oxidoreductase NAD-binding domain	16	
pfam00176	SNF2 family N-terminal domain	18	
pfam00177	Ribosomal protein S7p/S5e	8	
pfam00180	Isocitrate/isopropylmalate dehydrogenase	13	
pfam00181	Ribosomal Proteins L2, RNA binding domain	9	
pfam00183	Hsp90 protein	6	
pfam00185	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	12	
pfam00186	Dihydrofolate reductase	7	
pfam00188	Cysteine-rich secretory protein family	2	
pfam00189	Ribosomal protein S3, C-terminal domain	10	
pfam00196	Bacterial regulatory proteins, luxR family	19	
pfam00201	UDP-glucoronosyl and UDP-glucosyl transferase	1	
pfam00202	Aminotransferase class-III	26	
pfam00203	Ribosomal protein S19	7	
pfam00204	DNA gyrase B	20	
pfam00205	Thiamine pyrophosphate enzyme, central domain	16	
pfam00206	Lyase	19	
pfam00208	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	6	
pfam00209	Sodium:neurotransmitter symporter family	26	
pfam00210	Ferritin-like domain	1	
pfam00213	ATP synthase delta (OSCP) subunit	10	
pfam00215	Orotidine 5'-phosphate decarboxylase / HUMPS family	10	
pfam00216	Bacterial DNA-binding protein	4	
pfam00218	Indole-3-glycerol phosphate synthase	8	
pfam00224	Pyruvate kinase, barrel domain	13	
pfam00226	DnaJ domain	10	
pfam00227	Proteasome subunit	3	
pfam00230	Major intrinsic protein	2	
pfam00231	ATP synthase	16	
pfam00232	Glycosyl hydrolase family 1	28	
pfam00237	Ribosomal protein L22p/L17e	8	
pfam00238	Ribosomal protein L14p/L23e	10	
pfam00239	Resolvase, N terminal domain	98	
pfam00240	Ubiquitin family	1	
pfam00245	Alkaline phosphatase	2	
pfam00246	Zinc carboxypeptidase	5	
pfam00248	Aldo/keto reductase family	35	
pfam00251	Glycosyl hydrolases family 32 N-terminal domain	21	
pfam00252	Ribosomal protein L16p/L10e	12	
pfam00253	Ribosomal protein S14p/S29e	5	
pfam00254	FKBP-type peptidyl-prolyl cis-trans isomerase	10	
pfam00258	Flavodoxin	6	
pfam00265	Thymidine kinase	2	
pfam00266	Aminotransferase class-V	41	
pfam00269	Small, acid-soluble spore proteins, alpha/beta type	7	
pfam00270	DEAD/DEAH box helicase	42	
pfam00271	Helicase conserved C-terminal domain	58	
pfam00275	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	25	
pfam00276	Ribosomal protein L23	5	
pfam00278	Pyridoxal-dependent decarboxylase, C-terminal sheet domain	10	
pfam00281	Ribosomal protein L5	9	
pfam00282	Pyridoxal-dependent decarboxylase conserved domain	2	
pfam00285	Citrate synthase, C-terminal domain	15	
pfam00288	GHMP kinases N terminal domain	20	
pfam00289	Biotin carboxylase, N-terminal domain	20	
pfam00290	Tryptophan synthase alpha chain	8	
pfam00291	Pyridoxal-phosphate dependent enzyme	33	
pfam00293	NUDIX domain	31	
pfam00294	pfkB family carbohydrate kinase	47	
pfam00295	Glycosyl hydrolases family 28	1	
pfam00296	Luciferase-like monooxygenase	1	
pfam00297	Ribosomal protein L3	6	
pfam00298	Ribosomal protein L11, RNA binding domain	4	
pfam00300	Histidine phosphatase superfamily (branch 1)	21	
pfam00301	Rubredoxin	8	
pfam00302	Chloramphenicol acetyltransferase	7	
pfam00303	Thymidylate synthase	5	
pfam00306	ATP synthase alpha/beta chain, C terminal domain	45	
pfam00308	Bacterial dnaA protein	8	
pfam00309	Sigma-54 factor, Activator interacting domain (AID)	1	
pfam00310	Glutamine amidotransferases class-II	12	
pfam00311	Phosphoenolpyruvate carboxylase	2	
pfam00312	Ribosomal protein S15	5	
pfam00313	'Cold-shock' DNA-binding domain	4	
pfam00317	Ribonucleotide reductase, all-alpha domain	2	
pfam00318	Ribosomal protein S2	4	
pfam00324	Amino acid permease	2	
pfam00326	Prolyl oligopeptidase family	5	
pfam00327	Ribosomal protein L30p/L7e	10	
pfam00329	Respiratory-chain NADH dehydrogenase, 30 Kd subunit	1	
pfam00330	Aconitase family (aconitate hydratase)	20	
pfam00331	Glycosyl hydrolase family 10	2	
pfam00333	Ribosomal protein S5, N-terminal domain	9	
pfam00334	Nucleoside diphosphate kinase	2	
pfam00335	Tetraspanin family	1	
pfam00338	Ribosomal protein S10p/S20e	5	
pfam00342	Phosphoglucose isomerase	9	
pfam00343	Carbohydrate phosphorylase	23	
pfam00344	SecY translocase	15	
pfam00347	Ribosomal protein L6	9	
pfam00348	Polyprenyl synthetase	11	
pfam00350	Dynamin family	1	
pfam00353	Haemolysin-type calcium-binding repeat (2 copies)	1	
pfam00356	Bacterial regulatory proteins, lacI family	40	
pfam00358	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	18	
pfam00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	19	
pfam00361	Proton-conducting membrane transporter	6	
pfam00364	Biotin-requiring enzyme	15	
pfam00365	Phosphofructokinase	26	
pfam00366	Ribosomal protein S17	9	
pfam00367	phosphotransferase system, EIIB	14	
pfam00370	FGGY family of carbohydrate kinases, N-terminal domain	31	
pfam00374	Nickel-dependent hydrogenase	5	
pfam00375	Sodium:dicarboxylate symporter family	13	
pfam00376	MerR family regulatory protein	1	
pfam00378	Enoyl-CoA hydratase/isomerase	4	
pfam00380	Ribosomal protein S9/S16	2	
pfam00381	PTS HPr component phosphorylation site	24	
pfam00382	Transcription factor TFIIB repeat	1	
pfam00383	Cytidine and deoxycytidylate deaminase zinc-binding region	25	
pfam00384	Molybdopterin oxidoreductase	12	
pfam00388	Phosphatidylinositol-specific phospholipase C, X domain	2	
pfam00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	8	
pfam00390	Malic enzyme, N-terminal domain	5	
pfam00391	PEP-utilising enzyme, mobile domain	11	
pfam00392	Bacterial regulatory proteins, gntR family	53	
pfam00393	6-phosphogluconate dehydrogenase, C-terminal domain	1	
pfam00395	S-layer homology domain	5	
pfam00398	Ribosomal RNA adenine dimethylase	17	
pfam00401	ATP synthase, Delta/Epsilon chain, long alpha-helix domain	8	
pfam00403	Heavy-metal-associated domain	24	
pfam00404	Dockerin type I repeat	6	
pfam00406	Adenylate kinase	7	
pfam00408	Phosphoglucomutase/phosphomannomutase, C-terminal domain	20	
pfam00410	Ribosomal protein S8	5	
pfam00411	Ribosomal protein S11	4	
pfam00413	Matrixin	1	
pfam00415	Regulator of chromosome condensation (RCC1) repeat	4	
pfam00416	Ribosomal protein S13/S18	3	
pfam00420	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	4	
pfam00425	chorismate binding enzyme	12	
pfam00428	60s Acidic ribosomal protein	2	
pfam00430	ATP synthase B/B' CF(0)	10	
pfam00436	Single-strand binding protein family	7	
pfam00437	Type II/IV secretion system protein	23	
pfam00438	S-adenosylmethionine synthetase, N-terminal domain	10	
pfam00440	Bacterial regulatory proteins, tetR family	52	
pfam00441	Acyl-CoA dehydrogenase, C-terminal domain	12	
pfam00448	SRP54-type protein, GTPase domain	15	
pfam00453	Ribosomal protein L20	3	
pfam00455	DeoR C terminal sensor domain	25	
pfam00456	Transketolase, thiamine diphosphate binding domain	12	
pfam00462	Glutaredoxin	2	
pfam00464	Serine hydroxymethyltransferase	9	
pfam00465	Iron-containing alcohol dehydrogenase	39	
pfam00466	Ribosomal protein L10	3	
pfam00467	KOW motif	9	
pfam00468	Ribosomal protein L34	5	
pfam00472	RF-1 domain	13	
pfam00474	Sodium:solute symporter family	7	
pfam00475	Imidazoleglycerol-phosphate dehydratase	13	
pfam00476	DNA polymerase family A	10	
pfam00478	IMP dehydrogenase / GMP reductase domain	7	
pfam00479	Glucose-6-phosphate dehydrogenase, NAD binding domain	1	
pfam00480	ROK family	27	
pfam00481	Protein phosphatase 2C	3	
pfam00482	Type II secretion system (T2SS), protein F	19	
pfam00483	Nucleotidyl transferase	31	
pfam00484	Carbonic anhydrase	2	
pfam00485	Phosphoribulokinase / Uridine kinase family	8	
pfam00486	Transcriptional regulatory protein, C terminal	123	
pfam00488	MutS domain V	21	
pfam00490	Delta-aminolevulinic acid dehydratase	6	
pfam00491	Arginase family	4	
pfam00493	MCM2/3/5 family	1	
pfam00496	Bacterial extracellular solute-binding proteins, family 5 Middle	25	
pfam00497	Bacterial extracellular solute-binding proteins, family 3	26	
pfam00498	FHA domain	20	
pfam00501	AMP-binding enzyme	42	
pfam00512	His Kinase A (phospho-acceptor) domain	127	
pfam00515	Tetratricopeptide repeat	6	
pfam00520	Ion transport protein	1	
pfam00521	DNA gyrase/topoisomerase IV, subunit A	24	
pfam00528	Binding-protein-dependent transport system inner membrane component	194	
pfam00532	Periplasmic binding proteins and sugar binding domain of LacI family	14	
pfam00533	BRCA1 C Terminus (BRCT) domain	8	
pfam00534	Glycosyl transferases group 1	43	
pfam00535	Glycosyl transferase family 2	118	
pfam00543	Nitrogen regulatory protein P-II	10	
pfam00545	ribonuclease	1	
pfam00549	CoA-ligase	1	
pfam00550	Phosphopantetheine attachment site	19	
pfam00551	Formyl transferase	11	
pfam00553	Cellulose binding domain	3	
pfam00557	Metallopeptidase family M24	24	
pfam00560	Leucine Rich Repeat	1	
pfam00561	alpha/beta hydrolase fold	3	
pfam00562	RNA polymerase Rpb2, domain 6	15	
pfam00563	EAL domain	18	
pfam00570	HRDC domain	6	
pfam00571	CBS domain	23	
pfam00572	Ribosomal protein L13	3	
pfam00573	Ribosomal protein L4/L1 family	6	
pfam00574	Clp protease	21	
pfam00575	S1 RNA binding domain	23	
pfam00578	AhpC/TSA family	8	
pfam00579	tRNA synthetases class I (W and Y)	6	
pfam00580	UvrD/REP helicase N-terminal domain	31	
pfam00581	Rhodanese-like domain	13	
pfam00582	Universal stress protein family	5	
pfam00583	Acetyltransferase (GNAT) family	35	
pfam00584	SecE/Sec61-gamma subunits of protein translocation complex	3	
pfam00586	AIR synthase related protein, N-terminal domain	20	
pfam00587	tRNA synthetase class II core domain (G, H, P, S and T)	24	
pfam00588	SpoU rRNA Methylase family	22	
pfam00589	Phage integrase family	132	
pfam00590	Tetrapyrrole (Corrin/Porphyrin) Methylases	43	
