Pfam ID	Pfam Name	Gene Count	
pfam00001	7tm_1 - 7 transmembrane receptor (rhodopsin family)	85	
pfam00002	7tm_2 - 7 transmembrane receptor (Secretin family)	9	
pfam00003	7tm_3 - 7 transmembrane sweet-taste receptor of 3 GCPR	11	
pfam00004	AAA - ATPase family associated with various cellular activities (AAA)	32	
pfam00005	ABC_tran - ABC transporter	57	
pfam00006	ATP-synt_ab - ATP synthase alpha/beta family, nucleotide-binding domain	7	
pfam00008	EGF - EGF-like domain	21	
pfam00009	GTP_EFTU - Elongation factor Tu GTP binding domain	17	
pfam00010	HLH - Helix-loop-helix DNA-binding domain	39	
pfam00011	HSP20 - Hsp20/alpha crystallin family	13	
pfam00012	HSP70 - Hsp70 protein	11	
pfam00013	KH_1 - KH domain	17	
pfam00014	Kunitz_BPTI - Kunitz/Bovine pancreatic trypsin inhibitor domain	7	
pfam00017	SH2 - SH2 domain	27	
pfam00018	SH3_1 - SH3 domain	23	
pfam00019	TGF_beta - Transforming growth factor beta like domain	4	
pfam00022	Actin - Actin	14	
pfam00023	Ank - Ankyrin repeat	18	
pfam00024	PAN_1 - PAN domain	5	
pfam00025	Arf - ADP-ribosylation factor family	14	
pfam00026	Asp - Eukaryotic aspartyl protease	1	
pfam00027	cNMP_binding - Cyclic nucleotide-binding domain	18	
pfam00028	Cadherin - Cadherin domain	19	
pfam00031	Cystatin - Cystatin domain	1	
pfam00034	Cytochrom_C - Cytochrome c	1	
pfam00035	dsrm - Double-stranded RNA binding motif	7	
pfam00036	EF-hand_1 - EF hand	9	
pfam00037	Fer4 - 4Fe-4S binding domain	1	
pfam00038	Filament - Intermediate filament protein	1	
pfam00041	fn3 - Fibronectin type III domain	37	
pfam00042	Globin - Globin	3	
pfam00043	GST_C - Glutathione S-transferase, C-terminal domain	10	
pfam00044	Gp_dh_N - Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	1	
pfam00045	Hemopexin - Hemopexin	3	
pfam00046	Homeobox - Homeobox domain	79	
pfam00047	ig - Immunoglobulin domain	11	
pfam00049	Insulin - Insulin/IGF/Relaxin family	20	
pfam00050	Kazal_1 - Kazal-type serine protease inhibitor domain	5	
pfam00051	Kringle - Kringle domain	2	
pfam00052	Laminin_B - Laminin B (Domain IV)	5	
pfam00053	Laminin_EGF - Laminin EGF domain	14	
pfam00054	Laminin_G_1 - Laminin G domain	7	
pfam00055	Laminin_N - Laminin N-terminal (Domain VI)	5	
pfam00056	Ldh_1_N - lactate/malate dehydrogenase, NAD binding domain	7	
