Pfam ID	Pfam Name	Gene Count	
pfam00004	AAA - ATPase family associated with various cellular activities (AAA)	6	
pfam00005	ABC_tran - ABC transporter	118	
pfam00006	ATP-synt_ab - ATP synthase alpha/beta family, nucleotide-binding domain	3	
pfam00009	GTP_EFTU - Elongation factor Tu GTP binding domain	7	
pfam00012	HSP70 - Hsp70 protein	1	
pfam00013	KH_1 - KH domain	1	
pfam00027	cNMP_binding - Cyclic nucleotide-binding domain	2	
pfam00035	dsrm - Double-stranded RNA binding motif	1	
pfam00037	Fer4 - 4Fe-4S binding domain	1	
pfam00041	fn3 - Fibronectin type III domain	5	
pfam00044	Gp_dh_N - Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	2	
pfam00056	Ldh_1_N - lactate/malate dehydrogenase, NAD binding domain	2	
pfam00069	Pkinase - Protein kinase domain	5	
pfam00072	Response_reg - Response regulator receiver domain	29	
pfam00075	RNase_H - RNase H	1	
pfam00079	Serpin - Serpin (serine protease inhibitor)	1	
pfam00081	Sod_Fe_N - Iron/manganese superoxide dismutases, alpha-hairpin domain	1	
pfam00082	Peptidase_S8 - Subtilase family	1	
pfam00083	Sugar_tr - Sugar (and other) transporter	2	
pfam00085	Thioredoxin - Thioredoxin	4	
pfam00091	Tubulin - Tubulin/FtsZ family, GTPase domain	1	
pfam00106	adh_short - short chain dehydrogenase	6	
pfam00107	ADH_zinc_N - Zinc-binding dehydrogenase	6	
pfam00108	Thiolase_N - Thiolase, N-terminal domain	4	
pfam00109	ketoacyl-synt - Beta-ketoacyl synthase, N-terminal domain	1	
pfam00113	Enolase_C - Enolase, C-terminal TIM barrel domain	1	
pfam00115	COX1 - Cytochrome C and Quinol oxidase polypeptide I	1	
pfam00116	COX2 - Cytochrome C oxidase subunit II, periplasmic domain	1	
pfam00117	GATase - Glutamine amidotransferase class-I	7	
pfam00118	Cpn60_TCP1 - TCP-1/cpn60 chaperonin family	1	
pfam00119	ATP-synt_A - ATP synthase A chain	1	
pfam00120	Gln-synt_C - Glutamine synthetase, catalytic domain	2	
pfam00121	TIM - Triosephosphate isomerase	1	
pfam00122	E1-E2_ATPase - E1-E2 ATPase	2	
pfam00126	HTH_1 - Bacterial regulatory helix-turn-helix protein, lysR family	4	
pfam00128	Alpha-amylase - Alpha amylase, catalytic domain	12	
pfam00132	Hexapep - Bacterial transferase hexapeptide (six repeats)	7	
pfam00133	tRNA-synt_1 - tRNA synthetases class I (I, L, M and V)	2	
pfam00137	ATP-synt_C - ATP synthase subunit C	1	
pfam00140	Sigma70_r1_2 - Sigma-70 factor, region 1.2	1	
pfam00141	peroxidase - Peroxidase	1	
pfam00144	Beta-lactamase - Beta-lactamase	1	
pfam00145	DNA_methylase - C-5 cytosine-specific DNA methylase	2	
pfam00146	NADHdh - NADH dehydrogenase	1	
pfam00149	Metallophos - Calcineurin-like phosphoesterase	2	
pfam00150	Cellulase - Cellulase (glycosyl hydrolase family 5)	3	
pfam00152	tRNA-synt_2 - tRNA synthetases class II (D, K and N)	2	
pfam00154	RecA - recA bacterial DNA recombination protein	1	
pfam00155	Aminotran_1_2 - Aminotransferase class I and II	9	
pfam00156	Pribosyltran - Phosphoribosyl transferase domain	6	
pfam00160	Pro_isomerase - Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	2	
pfam00162	PGK - Phosphoglycerate kinase	1	
pfam00163	Ribosomal_S4 - Ribosomal protein S4/S9 N-terminal domain	1	
pfam00164	Ribosom_S12_S23 - Ribosomal protein S12/S23	1	
pfam00166	Cpn10 - Chaperonin 10 Kd subunit	2	
pfam00171	Aldedh - Aldehyde dehydrogenase family	6	
pfam00174	Oxidored_molyb - Oxidoreductase molybdopterin binding domain	1	
pfam00176	SNF2_N - SNF2 family N-terminal domain	2	
pfam00177	Ribosomal_S7 - Ribosomal protein S7p/S5e	1	
pfam00180	Iso_dh - Isocitrate/isopropylmalate dehydrogenase	1	
pfam00181	Ribosomal_L2 - Ribosomal Proteins L2, RNA binding domain	1	
pfam00185	OTCace - Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	4	
pfam00186	DHFR_1 - Dihydrofolate reductase	1	
pfam00188	CAP - Cysteine-rich secretory protein family	1	
pfam00189	Ribosomal_S3_C - Ribosomal protein S3, C-terminal domain	1	
pfam00196	GerE - Bacterial regulatory proteins, luxR family	26	
pfam00198	2-oxoacid_dh - 2-oxoacid dehydrogenases acyltransferase (catalytic domain)	4	
pfam00201	UDPGT - UDP-glucoronosyl and UDP-glucosyl transferase	1	
pfam00202	Aminotran_3 - Aminotransferase class-III	2	
pfam00203	Ribosomal_S19 - Ribosomal protein S19	1	
pfam00204	DNA_gyraseB - DNA gyrase B	2	
pfam00205	TPP_enzyme_M - Thiamine pyrophosphate enzyme, central domain	2	
pfam00206	Lyase_1 - Lyase	3	
pfam00208	ELFV_dehydrog - Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	2	
pfam00210	Ferritin - Ferritin-like domain	1	
pfam00211	Guanylate_cyc - Adenylate and Guanylate cyclase catalytic domain	1	
pfam00213	OSCP - ATP synthase delta (OSCP) subunit	1	
pfam00215	OMPdecase - Orotidine 5'-phosphate decarboxylase / HUMPS family	1	
pfam00216	Bac_DNA_binding - Bacterial DNA-binding protein	1	
pfam00218	IGPS - Indole-3-glycerol phosphate synthase	1	
pfam00224	PK - Pyruvate kinase, barrel domain	1	
pfam00226	DnaJ - DnaJ domain	2	
pfam00227	Proteasome - Proteasome subunit	2	
pfam00230	MIP - Major intrinsic protein	3	
pfam00231	ATP-synt - ATP synthase	1	
pfam00232	Glyco_hydro_1 - Glycosyl hydrolase family 1	2	
pfam00237	Ribosomal_L22 - Ribosomal protein L22p/L17e	1	
pfam00238	Ribosomal_L14 - Ribosomal protein L14p/L23e	1	
pfam00248	Aldo_ket_red - Aldo/keto reductase family	9	
pfam00252	Ribosomal_L16 - Ribosomal protein L16p/L10e	1	
pfam00253	Ribosomal_S14 - Ribosomal protein S14p/S29e	1	
