Pfam ID	Pfam Name	Gene Count	
pfam00004	AAA - ATPase family associated with various cellular activities (AAA)	4	
pfam00005	ABC_tran - ABC transporter	17	
pfam00006	ATP-synt_ab - ATP synthase alpha/beta family, nucleotide-binding domain	2	
pfam00009	GTP_EFTU - Elongation factor Tu GTP binding domain	5	
pfam00011	HSP20 - Hsp20/alpha crystallin family	1	
pfam00013	KH_1 - KH domain	2	
pfam00016	RuBisCO_large - Ribulose bisphosphate carboxylase large chain, catalytic domain	1	
pfam00037	Fer4 - 4Fe-4S binding domain	17	
pfam00056	Ldh_1_N - lactate/malate dehydrogenase, NAD binding domain	1	
pfam00069	Pkinase - Protein kinase domain	1	
pfam00091	Tubulin - Tubulin/FtsZ family, GTPase domain	2	
pfam00108	Thiolase_N - Thiolase, N-terminal domain	1	
pfam00113	Enolase_C - Enolase, C-terminal TIM barrel domain	1	
pfam00117	GATase - Glutamine amidotransferase class-I	5	
pfam00118	Cpn60_TCP1 - TCP-1/cpn60 chaperonin family	1	
pfam00120	Gln-synt_C - Glutamine synthetase, catalytic domain	1	
pfam00121	TIM - Triosephosphate isomerase	1	
pfam00122	E1-E2_ATPase - E1-E2 ATPase	1	
pfam00126	HTH_1 - Bacterial regulatory helix-turn-helix protein, lysR family	2	
pfam00132	Hexapep - Bacterial transferase hexapeptide (six repeats)	3	
pfam00133	tRNA-synt_1 - tRNA synthetases class I (I, L, M and V)	3	
pfam00136	DNA_pol_B - DNA polymerase family B	1	
pfam00137	ATP-synt_C - ATP synthase subunit C	1	
pfam00142	Fer4_NifH - 4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	1	
pfam00145	DNA_methylase - C-5 cytosine-specific DNA methylase	2	
pfam00146	NADHdh - NADH dehydrogenase	2	
pfam00148	Oxidored_nitro - Nitrogenase component 1 type Oxidoreductase	1	
pfam00149	Metallophos - Calcineurin-like phosphoesterase	5	
pfam00152	tRNA-synt_2 - tRNA synthetases class II (D, K and N)	1	
pfam00155	Aminotran_1_2 - Aminotransferase class I and II	6	
pfam00156	Pribosyltran - Phosphoribosyl transferase domain	5	
pfam00162	PGK - Phosphoglycerate kinase	1	
pfam00164	Ribosom_S12_S23 - Ribosomal protein S12/S23	1	
pfam00171	Aldedh - Aldehyde dehydrogenase family	1	
pfam00175	NAD_binding_1 - Oxidoreductase NAD-binding domain	1	
pfam00177	Ribosomal_S7 - Ribosomal protein S7p/S5e	1	
pfam00180	Iso_dh - Isocitrate/isopropylmalate dehydrogenase	2	
pfam00181	Ribosomal_L2 - Ribosomal Proteins L2, RNA binding domain	1	
pfam00185	OTCace - Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	2	
pfam00189	Ribosomal_S3_C - Ribosomal protein S3, C-terminal domain	1	
pfam00190	Cupin_1 - Cupin	1	
pfam00202	Aminotran_3 - Aminotransferase class-III	3	
pfam00203	Ribosomal_S19 - Ribosomal protein S19	1	
pfam00205	TPP_enzyme_M - Thiamine pyrophosphate enzyme, central domain	2	
pfam00206	Lyase_1 - Lyase	2	
