Pfam ID	Pfam Name	Gene Count (assembled)	
pfam00004	ATPase family associated with various cellular activities (AAA)	749	
pfam00005	ABC transporter	7350	
pfam00006	ATP synthase alpha/beta family, nucleotide-binding domain	473	
pfam00008	EGF-like domain	2	
pfam00009	Elongation factor Tu GTP binding domain	862	
pfam00010	Helix-loop-helix DNA-binding domain	8	
pfam00011	Hsp20/alpha crystallin family	192	
pfam00012	Hsp70 protein	532	
pfam00013	KH domain	98	
pfam00015	Methyl-accepting chemotaxis protein (MCP) signalling domain	144	
pfam00016	Ribulose bisphosphate carboxylase large chain, catalytic domain	29	
pfam00018	SH3 domain	11	
pfam00022	Actin	39	
pfam00023	Ankyrin repeat	138	
pfam00024	PAN domain	2	
pfam00025	ADP-ribosylation factor family	23	
pfam00026	Eukaryotic aspartyl protease	39	
pfam00027	Cyclic nucleotide-binding domain	618	
pfam00028	Cadherin domain	4	
pfam00030	Beta/Gamma crystallin	9	
pfam00032	Cytochrome b(C-terminal)/b6/petD	51	
pfam00033	Cytochrome b/b6/petB	93	
pfam00034	Cytochrome c	294	
pfam00035	Double-stranded RNA binding motif	34	
pfam00036	EF hand	4	
pfam00037	4Fe-4S binding domain	162	
pfam00041	Fibronectin type III domain	134	
pfam00042	Globin	21	
pfam00043	Glutathione S-transferase, C-terminal domain	119	
pfam00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	163	
pfam00045	Hemopexin	8	
pfam00046	Homeobox domain	1	
pfam00050	Kazal-type serine protease inhibitor domain	2	
pfam00052	Laminin B (Domain IV)	1	
pfam00053	Laminin EGF domain	1	
pfam00056	lactate/malate dehydrogenase, NAD binding domain	88	
pfam00058	Low-density lipoprotein receptor repeat class B	3	
pfam00059	Lectin C-type domain	3	
pfam00060	Ligand-gated ion channel	2	
pfam00063	Myosin head (motor domain)	37	
pfam00067	Cytochrome P450	756	
pfam00068	Phospholipase A2	3	
pfam00069	Protein kinase domain	2705	
pfam00070	Pyridine nucleotide-disulphide oxidoreductase	546	
pfam00071	Ras family	62	
pfam00072	Response regulator receiver domain	4332	
pfam00075	RNase H	89	
pfam00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	145	
pfam00077	Retroviral aspartyl protease	3	
pfam00078	Reverse transcriptase (RNA-dependent DNA polymerase)	876	
pfam00079	Serpin (serine protease inhibitor)	51	
pfam00080	Copper/zinc superoxide dismutase (SODC)	47	
pfam00081	Iron/manganese superoxide dismutases, alpha-hairpin domain	78	
pfam00082	Subtilase family	454	
pfam00083	Sugar (and other) transporter	1126	
pfam00084	Sushi repeat (SCR repeat)	2	
pfam00085	Thioredoxin	202	
pfam00089	Trypsin	139	
pfam00091	Tubulin/FtsZ family, GTPase domain	97	
pfam00092	von Willebrand factor type A domain	17	
pfam00096	Zinc finger, C2H2 type	29	
pfam00097	Zinc finger, C3HC4 type (RING finger)	3	
pfam00098	Zinc knuckle	28	
pfam00101	Ribulose bisphosphate carboxylase, small chain	8	
pfam00102	Protein-tyrosine phosphatase	7	
pfam00106	short chain dehydrogenase	3754	
pfam00107	Zinc-binding dehydrogenase	892	
