Pfam ID	Pfam Name	Gene Count	
pfam00004	AAA - ATPase family associated with various cellular activities (AAA)	10	
pfam00005	ABC_tran - ABC transporter	44	
pfam00006	ATP-synt_ab - ATP synthase alpha/beta family, nucleotide-binding domain	7	
pfam00009	GTP_EFTU - Elongation factor Tu GTP binding domain	9	
pfam00011	HSP20 - Hsp20/alpha crystallin family	1	
pfam00012	HSP70 - Hsp70 protein	3	
pfam00013	KH_1 - KH domain	1	
pfam00015	MCPsignal - Methyl-accepting chemotaxis protein (MCP) signalling domain	42	
pfam00023	Ank - Ankyrin repeat	1	
pfam00027	cNMP_binding - Cyclic nucleotide-binding domain	4	
pfam00032	Cytochrom_B_C - Cytochrome b(C-terminal)/b6/petD	1	
pfam00033	Cytochrome_B - Cytochrome b/b6/petB	1	
pfam00034	Cytochrom_C - Cytochrome c	5	
pfam00035	dsrm - Double-stranded RNA binding motif	1	
pfam00037	Fer4 - 4Fe-4S binding domain	1	
pfam00041	fn3 - Fibronectin type III domain	1	
pfam00042	Globin - Globin	1	
pfam00043	GST_C - Glutathione S-transferase, C-terminal domain	5	
pfam00044	Gp_dh_N - Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	4	
pfam00056	Ldh_1_N - lactate/malate dehydrogenase, NAD binding domain	1	
pfam00069	Pkinase - Protein kinase domain	2	
pfam00072	Response_reg - Response regulator receiver domain	62	
pfam00075	RNase_H - RNase H	1	
pfam00076	RRM_1 - RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	1	
pfam00078	RVT_1 - Reverse transcriptase (RNA-dependent DNA polymerase)	4	
pfam00081	Sod_Fe_N - Iron/manganese superoxide dismutases, alpha-hairpin domain	1	
pfam00082	Peptidase_S8 - Subtilase family	4	
pfam00085	Thioredoxin - Thioredoxin	3	
pfam00089	Trypsin - Trypsin	1	
pfam00091	Tubulin - Tubulin/FtsZ family, GTPase domain	1	
pfam00092	VWA - von Willebrand factor type A domain	3	
pfam00106	adh_short - short chain dehydrogenase	8	
pfam00107	ADH_zinc_N - Zinc-binding dehydrogenase	6	
pfam00108	Thiolase_N - Thiolase, N-terminal domain	3	
pfam00109	ketoacyl-synt - Beta-ketoacyl synthase, N-terminal domain	6	
pfam00111	Fer2 - 2Fe-2S iron-sulfur cluster binding domain	7	
pfam00113	Enolase_C - Enolase, C-terminal TIM barrel domain	1	
pfam00115	COX1 - Cytochrome C and Quinol oxidase polypeptide I	3	
pfam00116	COX2 - Cytochrome C oxidase subunit II, periplasmic domain	1	
pfam00117	GATase - Glutamine amidotransferase class-I	6	
pfam00118	Cpn60_TCP1 - TCP-1/cpn60 chaperonin family	1	
pfam00119	ATP-synt_A - ATP synthase A chain	1	
pfam00120	Gln-synt_C - Glutamine synthetase, catalytic domain	3	
pfam00121	TIM - Triosephosphate isomerase	1	
pfam00122	E1-E2_ATPase - E1-E2 ATPase	2	
pfam00126	HTH_1 - Bacterial regulatory helix-turn-helix protein, lysR family	54	
pfam00127	Copper-bind - Copper binding proteins, plastocyanin/azurin family	1	
pfam00128	Alpha-amylase - Alpha amylase, catalytic domain	6	
pfam00132	Hexapep - Bacterial transferase hexapeptide (six repeats)	10	
pfam00133	tRNA-synt_1 - tRNA synthetases class I (I, L, M and V)	3	
pfam00136	DNA_pol_B - DNA polymerase family B	1	
pfam00137	ATP-synt_C - ATP synthase subunit C	1	
pfam00140	Sigma70_r1_2 - Sigma-70 factor, region 1.2	3	
pfam00141	peroxidase - Peroxidase	1	
pfam00144	Beta-lactamase - Beta-lactamase	2	
pfam00149	Metallophos - Calcineurin-like phosphoesterase	9	
pfam00152	tRNA-synt_2 - tRNA synthetases class II (D, K and N)	3	
pfam00154	RecA - recA bacterial DNA recombination protein	1	
pfam00155	Aminotran_1_2 - Aminotransferase class I and II	12	
pfam00156	Pribosyltran - Phosphoribosyl transferase domain	7	
pfam00158	Sigma54_activat - Sigma-54 interaction domain	12	
pfam00160	Pro_isomerase - Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	4	
pfam00162	PGK - Phosphoglycerate kinase	1	
pfam00163	Ribosomal_S4 - Ribosomal protein S4/S9 N-terminal domain	1	
pfam00164	Ribosom_S12_S23 - Ribosomal protein S12/S23	1	
pfam00166	Cpn10 - Chaperonin 10 Kd subunit	1	
pfam00171	Aldedh - Aldehyde dehydrogenase family	13	
pfam00174	Oxidored_molyb - Oxidoreductase molybdopterin binding domain	2	
pfam00175	NAD_binding_1 - Oxidoreductase NAD-binding domain	7	
pfam00176	SNF2_N - SNF2 family N-terminal domain	2	
pfam00177	Ribosomal_S7 - Ribosomal protein S7p/S5e	1	
pfam00180	Iso_dh - Isocitrate/isopropylmalate dehydrogenase	2	
pfam00181	Ribosomal_L2 - Ribosomal Proteins L2, RNA binding domain	1	
pfam00183	HSP90 - Hsp90 protein	1	
pfam00185	OTCace - Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	2	
pfam00186	DHFR_1 - Dihydrofolate reductase	1	
pfam00189	Ribosomal_S3_C - Ribosomal protein S3, C-terminal domain	1	
pfam00196	GerE - Bacterial regulatory proteins, luxR family	11	
pfam00198	2-oxoacid_dh - 2-oxoacid dehydrogenases acyltransferase (catalytic domain)	3	
pfam00199	Catalase - Catalase	2	
pfam00202	Aminotran_3 - Aminotransferase class-III	5	
pfam00203	Ribosomal_S19 - Ribosomal protein S19	1	
pfam00204	DNA_gyraseB - DNA gyrase B	2	
pfam00205	TPP_enzyme_M - Thiamine pyrophosphate enzyme, central domain	3	
pfam00206	Lyase_1 - Lyase	4	
pfam00207	A2M - Alpha-2-macroglobulin family	1	
pfam00208	ELFV_dehydrog - Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	1	
pfam00209	SNF - Sodium:neurotransmitter symporter family	1	
pfam00210	Ferritin - Ferritin-like domain	4	
pfam00211	Guanylate_cyc - Adenylate and Guanylate cyclase catalytic domain	1	
pfam00213	OSCP - ATP synthase delta (OSCP) subunit	1	
pfam00215	OMPdecase - Orotidine 5'-phosphate decarboxylase / HUMPS family	1	
pfam00216	Bac_DNA_binding - Bacterial DNA-binding protein	5	
pfam00218	IGPS - Indole-3-glycerol phosphate synthase	1	
pfam00221	Lyase_aromatic - Aromatic amino acid lyase	2	
pfam00224	PK - Pyruvate kinase, barrel domain	1	
pfam00226	DnaJ - DnaJ domain	4	
pfam00227	Proteasome - Proteasome subunit	1	
pfam00230	MIP - Major intrinsic protein	1	
pfam00231	ATP-synt - ATP synthase	1	
pfam00232	Glyco_hydro_1 - Glycosyl hydrolase family 1	1	
pfam00237	Ribosomal_L22 - Ribosomal protein L22p/L17e	1	
pfam00238	Ribosomal_L14 - Ribosomal protein L14p/L23e	1	
pfam00239	Resolvase - Resolvase, N terminal domain	8	
pfam00245	Alk_phosphatase - Alkaline phosphatase	3	
pfam00246	Peptidase_M14 - Zinc carboxypeptidase	3	
pfam00248	Aldo_ket_red - Aldo/keto reductase family	2	
pfam00252	Ribosomal_L16 - Ribosomal protein L16p/L10e	1	
pfam00253	Ribosomal_S14 - Ribosomal protein S14p/S29e	1	
pfam00254	FKBP_C - FKBP-type peptidyl-prolyl cis-trans isomerase	8	
pfam00255	GSHPx - Glutathione peroxidase	2	
pfam00258	Flavodoxin_1 - Flavodoxin	4	
pfam00263	Secretin - Bacterial type II and III secretion system protein	6	
pfam00265	TK - Thymidine kinase	1	
pfam00266	Aminotran_5 - Aminotransferase class-V	5	
pfam00267	Porin_1 - Gram-negative porin	2	
pfam00268	Ribonuc_red_sm - Ribonucleotide reductase, small chain	1	
pfam00270	DEAD - DEAD/DEAH box helicase	21	
pfam00271	Helicase_C - Helicase conserved C-terminal domain	26	
pfam00275	EPSP_synthase - EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	2	
pfam00276	Ribosomal_L23 - Ribosomal protein L23	1	
pfam00278	Orn_DAP_Arg_deC - Pyridoxal-dependent decarboxylase, C-terminal sheet domain	3	
pfam00281	Ribosomal_L5 - Ribosomal protein L5	1	
pfam00282	Pyridoxal_deC - Pyridoxal-dependent decarboxylase conserved domain	1	
pfam00285	Citrate_synt - Citrate synthase, C-terminal domain	2	
pfam00288	GHMP_kinases_N - GHMP kinases N terminal domain	3	
pfam00289	Biotin_carb_N - Biotin carboxylase, N-terminal domain	2	
pfam00290	Trp_syntA - Tryptophan synthase alpha chain	1	
pfam00291	PALP - Pyridoxal-phosphate dependent enzyme	7	
pfam00293	NUDIX - NUDIX domain	8	
pfam00294	PfkB - pfkB family carbohydrate kinase	5	
pfam00296	Bac_luciferase - Luciferase-like monooxygenase	1	
pfam00297	Ribosomal_L3 - Ribosomal protein L3	1	
pfam00298	Ribosomal_L11 - Ribosomal protein L11, RNA binding domain	1	
pfam00300	His_Phos_1 - Histidine phosphatase superfamily (branch 1)	3	
pfam00303	Thymidylat_synt - Thymidylate synthase	1	
pfam00306	ATP-synt_ab_C - ATP synthase alpha/beta chain, C terminal domain	1	
pfam00308	Bac_DnaA - Bacterial dnaA protein	2	
pfam00309	Sigma54_AID - Sigma-54 factor, Activator interacting domain (AID)	1	
pfam00310	GATase_2 - Glutamine amidotransferases class-II	1	
pfam00311	PEPcase - Phosphoenolpyruvate carboxylase	1	
pfam00312	Ribosomal_S15 - Ribosomal protein S15	1	
pfam00313	CSD - 'Cold-shock' DNA-binding domain	4	
pfam00316	FBPase - Fructose-1-6-bisphosphatase, N-terminal domain	1	
pfam00317	Ribonuc_red_lgN - Ribonucleotide reductase, all-alpha domain	1	
pfam00318	Ribosomal_S2 - Ribosomal protein S2	1	
pfam00325	Crp - Bacterial regulatory proteins, crp family	1	
pfam00326	Peptidase_S9 - Prolyl oligopeptidase family	10	
pfam00327	Ribosomal_L30 - Ribosomal protein L30p/L7e	1	
pfam00330	Aconitase - Aconitase family (aconitate hydratase)	3	
pfam00333	Ribosomal_S5 - Ribosomal protein S5, N-terminal domain	1	
pfam00334	NDK - Nucleoside diphosphate kinase	1	
pfam00338	Ribosomal_S10 - Ribosomal protein S10p/S20e	1	
pfam00342	PGI - Phosphoglucose isomerase	1	
pfam00343	Phosphorylase - Carbohydrate phosphorylase	1	
pfam00344	SecY - SecY translocase	1	
pfam00347	Ribosomal_L6 - Ribosomal protein L6	1	
pfam00348	polyprenyl_synt - Polyprenyl synthetase	2	
pfam00351	Biopterin_H - Biopterin-dependent aromatic amino acid hydroxylase	1	
pfam00353	HemolysinCabind - Haemolysin-type calcium-binding repeat (2 copies)	1	
pfam00355	Rieske - Rieske [2Fe-2S] domain	1	
pfam00356	LacI - Bacterial regulatory proteins, lacI family	5	
pfam00358	PTS_EIIA_1 - phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	1	
pfam00359	PTS_EIIA_2 - Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	1	
pfam00364	Biotin_lipoyl - Biotin-requiring enzyme	6	
pfam00366	Ribosomal_S17 - Ribosomal protein S17	1	
pfam00367	PTS_EIIB - phosphotransferase system, EIIB	1	
pfam00370	FGGY_N - FGGY family of carbohydrate kinases, N-terminal domain	1	
pfam00374	NiFeSe_Hases - Nickel-dependent hydrogenase	1	
pfam00375	SDF - Sodium:dicarboxylate symporter family	7	
pfam00376	MerR - MerR family regulatory protein	1	
pfam00378	ECH_1 - Enoyl-CoA hydratase/isomerase	7	
pfam00380	Ribosomal_S9 - Ribosomal protein S9/S16	1	
pfam00381	PTS-HPr - PTS HPr component phosphorylation site	2	
pfam00383	dCMP_cyt_deam_1 - Cytidine and deoxycytidylate deaminase zinc-binding region	4	
pfam00384	Molybdopterin - Molybdopterin oxidoreductase	8	
pfam00389	2-Hacid_dh - D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	4	
pfam00390	malic - Malic enzyme, N-terminal domain	2	
pfam00391	PEP-utilizers - PEP-utilising enzyme, mobile domain	3	
pfam00392	GntR - Bacterial regulatory proteins, gntR family	11	
pfam00393	6PGD - 6-phosphogluconate dehydrogenase, C-terminal domain	1	
pfam00398	RrnaAD - Ribosomal RNA adenine dimethylase	1	
pfam00400	WD40 - WD domain, G-beta repeat	1	
pfam00401	ATP-synt_DE - ATP synthase, Delta/Epsilon chain, long alpha-helix domain	1	
pfam00403	HMA - Heavy-metal-associated domain	3	
pfam00406	ADK - Adenylate kinase	1	
pfam00408	PGM_PMM_IV - Phosphoglucomutase/phosphomannomutase, C-terminal domain	4	
pfam00410	Ribosomal_S8 - Ribosomal protein S8	1	
pfam00411	Ribosomal_S11 - Ribosomal protein S11	1	
pfam00416	Ribosomal_S13 - Ribosomal protein S13/S18	1	
pfam00425	Chorismate_bind - chorismate binding enzyme	3	
pfam00430	ATP-synt_B - ATP synthase B/B' CF(0)	1	
pfam00436	SSB - Single-strand binding protein family	4	
pfam00437	T2SSE - Type II/IV secretion system protein	6	
pfam00438	S-AdoMet_synt_N - S-adenosylmethionine synthetase, N-terminal domain	1	
pfam00440	TetR_N - Bacterial regulatory proteins, tetR family	14	
pfam00441	Acyl-CoA_dh_1 - Acyl-CoA dehydrogenase, C-terminal domain	6	
pfam00444	Ribosomal_L36 - Ribosomal protein L36	1	
pfam00445	Ribonuclease_T2 - Ribonuclease T2 family	1	
